,Unit,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
KAZ,kt_methane,,,,,60.62,63.68,66.4,68.79,70.86,72.39,73.86,75.25,76.59,77.89,79.17,80.43,81.69,82.91,84.07,85.21,86.3,87.98,91.63,95.24,99.83,103.88,108.2,111.52,114.61,117.25,119.29,120.35,122.63,125.4,128.01,129.08,
LIE,kt_methane,,,,,0.019240175,0.018108272,0.017053389,0.01606899,0.015149262,0.014289017,0.013483604,0.012728845,0.012020971,0.01135657,0.010732544,0.010146072,0.00959458,0.009075708,0.008587293,0.008127343,0.007694021,0.007285631,0.006900603,0.006537481,0.006194913,0.005871643,0.005566499,0.005278391,0.0050063,0.004749275,0.004506427,0.004276923,0.004059985,0.003854881,0.003660927,0.003477482,
LTU,kt_methane,,,,,41.15336208,42.14548749,43.04305792,43.81583744,44.04115185,44.1082525,44.4406768,44.75754556,44.92526972,45.03899202,45.44013166,46.91626033,47.38140632,47.82167579,46.9709862,46.09377723,45.38859948,44.6802094,40.94811858,40.6794185,40.08178273,37.80489345,37.17824081,35.84502098,33.84181883,32.0566609,30.4394834,29.95649236,25.29880143,23.98475317,23.31125494,22.03395346,
LUX,kt_methane,,,,,3.687350223,3.768941152,3.783449083,3.732685697,3.382366404,3.371595206,3.368878753,3.447726158,3.452433295,3.453702556,3.309098636,3.271317581,3.255244574,3.26336961,3.067968845,2.985927974,2.93789775,2.918659629,2.851902077,2.812404263,2.35061164,2.357476616,2.244574182,2.292587051,2.266557092,2.173237911,1.98047046,2.029191663,1.9078588,1.846149472,1.793845612,1.720984852,
LVA,kt_methane,,,,,12.59010277,13.02466897,13.46812371,13.91970194,14.3787045,14.84449238,15.31648158,15.79413836,16.27697491,16.76454541,17.25644244,17.75229359,17.39268234,15.95706849,14.8237598,15.22982012,15.67445792,16.06334769,16.79826043,16.84350417,16.80553454,16.62578342,16.52387894,15.92203953,15.77401505,14.59507718,14.52275561,13.91772436,13.87296767,14.20474227,13.91749808,13.31293739,
MCO,kt_methane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,kt_methane,,,,,1.659844684,1.879557303,2.105693701,2.337212545,2.573365933,2.816397909,3.068436695,3.321588616,3.636776649,3.941354524,4.26632507,4.553976271,4.862170671,5.168107055,5.485787012,5.804904916,6.064890646,6.314048776,3.14408765,3.863436454,3.368840919,3.820118539,4.113124076,4.05054898,4.477917533,4.873044138,5.300426071,5.248386311,5.552862312,5.909383335,6.273905982,6.532047241,
NLD,kt_methane,,,,,547.1719485,547.5389138,536.199599,520.9533423,504.002256,478.4310855,462.3440139,447.5532326,428.3946165,391.9278513,369.0328531,346.9788598,328.268424,306.8673385,293.3159369,233.2841321,215.8755473,200.074988,186.6095545,177.8822462,164.897335,154.1955906,144.6931152,136.9655812,127.2358022,118.97092,111.2760047,102.754332,99.439801,94.81939468,88.30570909,84.15287565,
NOR,kt_methane,,,,,82.47039589,78.6059346,77.37675789,77.65988116,77.46024406,77.92605052,74.69569919,73.0033291,66.57018921,63.3029639,65.39055187,62.62264936,59.67374101,58.97105565,58.48480163,54.96035426,55.70279621,54.51795314,52.10631505,52.69961352,51.64484421,51.05154152,49.36026674,47.90123003,46.7719533,44.12914125,41.55657686,39.15498489,37.62042869,35.56038657,33.72836214,32.97629217,
NZL,kt_methane,,,,,132.7280417,136.7443561,140.6992905,144.682926,141.485068,145.0070901,148.712045,150.3176405,149.5821836,150.385514,151.9048591,153.5703391,154.9238406,151.6604902,152.0517276,151.9863699,144.2660416,142.8800593,139.7848501,134.7127785,132.1976615,126.2771924,121.8324213,119.7178199,117.558692,115.700655,114.1108087,112.5008949,109.6307133,107.4818377,105.4474881,103.1261972,
POL,kt_methane,,,518.0355159,522.0156201,522.1673806,516.7449331,505.714136,491.4714196,475.6365141,460.7860098,443.7232916,428.216064,417.8886283,402.4320873,374.8905395,351.5267874,327.7037624,300.6575067,279.4519988,257.4501348,233.3235712,210.6396947,181.6123685,164.1774245,143.475072,120.8309783,103.858642,97.52991616,89.20991562,80.29491079,66.67945497,67.46484404,68.50454562,60.61433597,49.42171998,46.54590069,
PRT,kt_methane,,,,,112.825536,118.2652569,124.1231842,130.1524908,136.3662485,142.9417122,149.7598896,156.9574832,164.7130628,173.980771,183.406698,189.0924531,193.5233874,197.3145198,198.3595939,191.8715605,188.7283178,185.100443,179.948335,177.7615945,171.5255764,171.313559,164.298591,159.9788838,155.5908993,147.5274232,145.8251703,143.6397887,142.857679,143.2320763,138.8432259,137.6998354,
ROU,kt_methane,,,,53.23501032,54.8620804,56.50943981,58.08657674,59.47668334,60.76751694,62.82862581,66.47785777,69.93029477,70.72456981,73.02894225,76.87164005,82.24181347,87.0142454,92.81041502,98.01387371,102.6025546,104.6452697,111.3796565,114.5311319,118.8206839,124.0931586,105.3258143,128.8265344,140.9143903,141.3893409,141.5231134,143.7788091,146.1874863,147.3891203,152.7169492,154.6998412,155.4653276,
RUS,kt_methane,,,,,1070.106762,1103.974136,1136.374021,1166.105946,1194.306909,1219.653139,1245.385131,1271.358925,1298.105361,1324.78083,1352.826061,1386.560352,1415.42967,1451.256018,1494.29393,1545.019805,1597.938312,1661.633282,1733.471571,1809.48307,1883.990466,1967.516765,2050.37783,2137.564468,2260.089117,2338.785084,2414.650556,2490.833888,2558.292073,2623.59793,2709.515481,2802.876669,
SVK,kt_methane,,,,,27.92076293,28.7891717,28.87807397,29.19400279,26.45498046,26.85253935,27.2255386,28.10384273,29.03883836,29.89155934,30.9029493,31.71109652,32.51532949,33.78305882,35.23031708,36.47175788,37.27457117,38.26271831,38.84222195,40.4651533,41.86489235,43.36942033,44.15460387,44.65970645,44.21246539,44.7768175,44.6390202,45.00960756,45.30903814,45.17751778,44.856648,44.9301,
SVN,kt_methane,11.69493653,12.56014142,13.41675625,14.21161451,14.91719864,15.18139602,14.76729145,14.47990375,14.28561863,14.11802879,14.92766199,16.22044856,17.16214514,18.11869262,18.9969139,19.46856899,19.51380681,19.82843551,20.06362782,19.48588411,18.15374163,16.6734693,14.19130834,12.16441532,11.9579672,12.37607388,12.1462523,11.40218148,10.02393965,10.2204444,10.86047715,10.45017279,9.360410793,9.007413138,8.236164225,7.367434603,
SWE,kt_methane,,,,,136.8678022,138.9529564,138.9942919,134.3148949,128.7601201,128.4241446,127.3218027,126.0756572,124.0206314,118.7107303,114.9740953,112.886076,105.4292487,99.41751082,98.42698258,91.55325142,87.93816521,80.07604912,68.9750567,64.80901458,60.35875987,55.39561474,50.2839915,46.47253355,41.64379315,37.6182453,34.03117294,31.69785604,29.46890876,25.31008312,22.90043192,19.38869317,
TUR,kt_methane,,,,,269.1839156,275.7392148,282.3893464,290.0410285,297.7699869,305.1187164,317.1264545,331.6358631,348.5274635,366.4992522,383.2609223,400.6931903,417.1672697,432.0755684,448.5407073,462.478448,476.6677223,488.2068376,496.871411,496.3274031,502.5789917,515.647078,506.3687555,480.568954,481.0809127,502.2986247,483.8134131,460.9714793,464.2116658,441.4074275,444.4535781,373.5057816,
USA,kt_methane,,,,,7062.504357,7154.638228,7143.170072,7063.721714,7053.485293,6868.325386,6733.059093,6357.632088,5978.761903,5715.162527,5586.514847,5415.283544,5363.680507,5458.912708,5365.260218,5275.269025,5187.545304,5100.364505,5014.85296,4928.909206,4964.237527,4628.729001,4687.475695,4552.642596,4544.197373,4493.070816,4350.485567,4423.601548,4524.687869,4607.192225,4456.151414,4379.064628,
UKR,kt_methane,,,,,261.3938259,270.6076668,278.1214876,284.0413377,288.4154765,291.1504405,292.3857763,292.2599458,292.7584364,293.740271,295.0631831,296.6542075,298.4327507,299.8698876,302.2898292,305.569619,310.621469,314.5759775,317.516052,318.2574538,321.4079457,322.4242749,320.1291604,323.2860924,323.7902746,329.183928,329.2906758,324.6152818,318.9018455,315.1571435,309.2074333,,
