Country_code_A3,Unit,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BIH,kt_methane,0.820595473,0.955628865,1.004035627,1.053900663,1.104880842,1.156677097,1.21055225,1.265292355,1.321116134,1.378679783,1.438495791,1.478254344,1.516291246,1.554934313,1.594132991,1.633505356,1.669931347,1.706334917,1.738526,1.75969849,1.764889949,4.981382145,7.040143782,8.320525011,9.214886638,9.913159457,12.20035861,13.5183682,14.23881081,14.75035529,15.11016084,15.41326133,15.74570691,16.03617083,16.39456361,16.85221512,17.2040066,17.55018568,17.86782626,17.84183078,17.90195263,17.96628986,17.93428843,18.00061749,18.04573646,18.1880412,18.38083314,18.61254875,18.86878847,19.03850672,19.20975153,19.41603292
BLR,kt_methane,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.82169583,58.92291384,59.02329182,59.12367157,59.52238171,61.26905447,72.94710051,73.68422246,75.63938799,79.92640401,82.08410015,83.35701823,86.11243982,94.37787839,115.4741105,89.82897479,95.9278595,93.16596753,125.834821,133.9576486,144.3323484,136.2994112,136.91802,144.4976684,150.2265404,161.0229812,162.3145384,161.5956189,161.5956189,164.9194035,168.3115535,169.7692672
BLZ,kt_methane,2.15224786,2.47218935,2.508344499,2.539812918,2.568164263,2.594848441,2.619875734,2.643664336,2.66932693,2.701123855,2.74193713,2.790559173,2.848174397,2.912588203,2.980336174,3.048429825,3.116921511,3.186351197,3.254359593,3.317071598,3.372646842,3.499194414,3.637160359,3.732715367,3.77958299,3.839074306,3.925269314,4.048162691,4.186789407,4.376419921,4.610843403,4.774184608,4.924362207,5.117642519,5.268494619,5.393372467,5.543085058,5.657697726,5.794287327,5.901867152,6.039140529,6.173931555,6.317727919,6.433589649,6.587086607,6.743852496,6.864840998,7.012864126,7.192001965,7.349464286,7.5103741,7.664022839
BMU,kt_methane,0.399502616,0.453255638,0.458179925,0.462909327,0.467476644,0.471660187,0.475485122,0.479095587,0.482447455,0.485716553,0.488948472,0.492199535,0.495422864,0.498741753,0.502095839,0.50548332,0.508943359,0.512434807,0.515944378,0.519371797,0.522742975,0.522498041,0.52461737,0.529622608,0.532905401,0.538863542,0.543616154,0.549712979,0.555328078,0.560487812,0.570509599,0.579760069,0.581335869,0.586106214,0.590049337,0.592373122,0.596945215,0.598804466,0.598485339,0.591428099,0.586364237,0.580341737,0.572662722,0.566908293,0.563942341,0.561374537,0.559015623,0.556785399,0.55479421,0.552448178,0.550112067,0.547872139
BOL,kt_methane,1.71830829,2.011221742,2.075546764,2.14217143,2.211262547,2.282977881,2.393456535,2.513772828,2.6391668,2.769484095,2.904592705,3.059808262,3.22310135,3.392470369,3.56780331,3.749055323,3.936012957,4.129018088,4.328640758,4.535656247,4.750789906,4.985292822,5.182363608,5.416570947,5.67108038,5.936963546,6.179766092,6.436205288,6.704139802,6.900974769,7.128056588,7.344034709,7.576641246,7.820809784,8.100563974,8.396928122,7.096505583,7.411394239,7.765653486,8.019957937,8.288371094,8.578775536,8.877049858,9.217529237,9.544356174,9.862946574,10.14087625,10.4164191,10.69768724,10.97975048,11.26925081,11.54910868
BRA,kt_methane,576.5337357,686.2612034,721.0071281,756.9782115,794.3508871,833.267213,873.0403577,914.2812103,957.1296759,1001.634002,1047.810776,1094.483945,1142.607828,1192.168468,1242.865224,1294.439917,1345.066197,1396.1301,1447.869181,1500.329883,1553.602167,1604.673734,1649.327048,1711.331668,1779.835213,1847.555775,1907.911548,1973.157604,2028.246559,2082.766728,2154.412102,2202.145771,2253.549525,2297.449792,2360.984826,2079.884289,2136.863283,2007.626513,1840.121977,1866.779889,1918.079387,1960.87971,1994.853911,2032.054951,2060.403989,2070.99001,2075.827879,2097.385606,2121.30518,2137.34497,2153.506041,2170.375842
BRB,kt_methane,3.480887045,3.858104622,3.915303907,3.975253545,4.036363611,4.097042889,4.154900054,4.211853547,4.267737798,4.32231172,4.375120748,4.33926008,4.29311244,4.245551885,4.197933221,4.151240265,4.108761959,4.067599934,4.027107868,3.986864732,3.946416143,3.890198037,3.807331713,3.787866573,3.793765646,3.787975537,3.797013239,3.812853643,3.821369997,3.803044216,3.811600142,3.776716976,3.760677702,3.756613823,3.748312179,3.758595536,3.783475669,3.782595316,3.767905191,3.721844751,3.703404092,3.699330766,3.693150298,3.684021836,3.674284101,3.670298252,3.690159547,3.704694811,3.707310793,3.71390908,3.72051911,3.730649195
BRN,kt_methane,0.50750737,0.593599189,0.626743962,0.661027155,0.696120748,0.731797487,0.761572253,0.790599784,0.819290397,0.847533728,0.875238952,0.90792256,0.941109907,0.974459341,1.008486588,1.043714801,1.08195223,1.121772472,1.162995931,1.205790671,1.250179981,1.30043302,1.35602978,1.405102849,1.459702254,1.51839707,1.575332416,1.622434647,1.670387853,1.727379134,1.785443105,1.841134646,1.899839715,1.956415534,2.005235345,2.051265206,2.104958287,2.145739759,2.177765792,2.210182021,2.258452151,2.313422365,2.362194886,2.401198061,2.43849173,2.481509412,2.51155168,2.553342806,2.591633192,2.627387845,2.663635775,2.699907723
BTN,kt_methane,0.083242508,0.102688098,0.112484298,0.1228484,0.133835547,0.145494037,0.159644366,0.174921177,0.191054256,0.207945444,0.225504421,0.246109924,0.267684393,0.290254628,0.314477785,0.340884344,0.373844961,0.410479705,0.448741555,0.485757644,0.518895772,0.550225333,0.587264637,0.619243212,0.657594321,0.705836241,0.764803144,0.832003582,0.908939607,0.999115668,1.093949809,1.206080852,1.336729204,1.468255285,1.600061633,1.743410367,1.870058823,2.047826961,2.179627924,2.31783003,2.490025498,2.653789393,2.804404178,2.938715102,3.097597652,3.270408109,3.432922974,3.572117064,3.692132309,3.833164501,3.979583846,4.119764603
BWA,kt_methane,0.166044449,0.21484609,0.245728,0.279142866,0.315442935,0.354982129,0.401615627,0.452936506,0.508586788,0.568470462,0.632463673,0.749809027,0.884858204,1.031957089,1.191534314,1.364033327,1.612067253,1.891424545,2.195657777,2.526251657,2.884772555,3.156614134,3.398301208,3.639523689,3.903197443,4.208208985,4.456784906,4.725843634,4.927992479,5.215894728,5.443479676,5.594320359,5.801457154,6.005081313,6.189364533,6.401184132,6.745282787,7.123060772,7.49288236,7.663558164,8.060750428,8.434398687,8.788470792,9.265578813,9.658296955,9.93838353,10.27841825,10.61008311,10.97569079,11.30596192,11.64617129,11.98944702
