,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
DNK,,,,,54.72290355772516,54.48819921109078,53.39155423849563,52.3091959049883,48.54309825415484,44.55959180845059,42.69779039421277,38.80788777100216,35.51235123865799,35.88154296475107,35.1976127073189,34.9100097721185,31.77545551587946,32.57821903593472,27.55229077126842,26.6035845180414,28.53380471059894,26.86323855777376,25.89700661865062,24.5263784610279,22.13574374029356,22.59642159971927,22.15881065116749,21.08744989958724,20.88407631885581,19.8260181590095,18.72763469764425,17.99148753491443,17.58544921871797,16.93806037715914,16.70050583506946,15.79768442541815,
ESP,,,,,218.952167101,233.441459848,250.746677018,266.606033485,279.98037825,295.980171721,309.076751881,327.01305655500005,342.376077315,357.769492383,368.83897427700003,383.25807178400004,391.822901818,384.76880264000005,369.436346261,380.379661383,391.159559104,401.017617859,409.886293039,463.215214404,423.840652583,447.27797461899996,446.01170046,433.77605763500003,398.432318125,428.263687681,409.72362997700003,401.470737707,396.394140202,384.190460395,373.27611749899995,370.633591559,
EST,,,,,8.54872075298771,9.14438722197868,9.6752686887848,10.5940247235743,10.6044460549133,10.1518920886814,11.8846207505029,14.2481817177153,15.5437538206531,15.7993116323733,17.5041398477965,17.9036313367309,17.6049237279413,16.8197278411483,16.8922555828838,15.5391994107198,14.8131693861356,13.9657622211253,13.7059250132278,14.4642515553871,14.2070996256194,13.0879281887928,12.0213251076263,10.4435319566315,9.38478777413718,8.54385718908782,7.80653225384552,7.68234609984909,7.26086261736808,7.27083535340595,6.95646163715566,7.03218598727599,
FIN,,,,,173.10999006806145,175.3835833602399,176.03287377441524,175.67919476948214,173.0405498512468,169.8044971844801,165.35596994587692,160.62951067,152.67517214999998,148.53774909999998,138.53750265999997,132.12992924,121.90711232,113.59850019,107.15143859,97.22035469,100.06153625000002,95.43742718000001,90.92841246,87.22904869,86.75717625,83.05888734999999,81.42303575,76.62067884000001,71.36066352,69.22648045999999,64.29850974,60.35836207,58.68975389,57.02729629,55.4004444,52.50233514000001,
FRA,,,,,472.633269260312,497.63486114175015,525.1398234786129,553.3578527876069,564.8356853777487,574.321232775688,580.4006177037811,588.2098420049925,608.3724032403474,619.1012987446447,630.781340187196,642.725024037971,653.3477472816434,658.5328481584627,656.9644448740212,649.7047489286897,646.4972116007865,648.3317570275404,647.1802875184285,622.9242199832938,621.3401834749583,582.9313642779564,568.2412236856406,511.6827972079831,478.3475240876233,449.58424878291163,451.0720729529712,454.83939608387146,445.54960264794,478.0094788305148,477.43202057957353,448.2065325466304,
GBR,,,,,2415.476830752694,2439.673052495284,2442.9709087605693,2464.3028345016332,2485.76101426558,2530.5140480793166,2538.4838750601984,2530.7990466070787,2490.819244662609,2380.4202574397077,2281.3947577472604,2232.8151731967987,2185.7607251356903,2038.4907303707237,1863.2711644994915,1755.5843076900198,1628.811561264952,1496.8076898346073,1323.3834881369344,1166.6140644129964,977.8738086356663,889.8260439914259,831.2936804470482,712.441346967954,615.8278334831641,592.4479067569033,563.3561323595386,570.5713471972106,573.8642933769015,565.7701878081086,516.5377010712563,492.03907641341357,
GRC,,,,,89.72151215117408,92.45637388069376,95.4035672197744,98.50324540379604,101.8101377924984,105.30314573181239,108.97049703511586,112.85288233936012,116.89714049005534,121.06242219486697,126.01559459446064,109.26256608557976,114.19483617130626,122.39369255542687,124.57019136569171,132.78286723442966,138.3331274779625,135.9872760159732,140.17041789030162,130.0711245650855,137.78304796764613,129.09363473167056,120.85100511199508,124.34625148329832,126.71181576521825,125.90633108678101,125.79445341436113,130.0279551172154,133.9419732494677,132.98329260710887,137.37256612462622,149.376936456736,
HRV,,,,,13.2460601621737,14.00238815706548,14.71975477133403,15.41444194314732,16.13935105778044,16.92877269714251,17.8631585003667,18.88156609749403,20.02389570764904,21.20833628254832,22.56685858235248,23.91724254330012,25.47052731468168,27.213661751812,28.91236038323032,28.74915882986915,31.72808178356903,34.41669526439921,37.64557686599668,40.88548108980629,41.86645454287107,43.22602929369749,44.40899877693422,44.21258059448928,45.92537503260025,47.75920408748587,48.75982521915068,50.50779634230632,50.19251067131388,49.20679860684354,49.75235457435745,45.20030465155655,
HUN,83.74511719945036,88.40106197172555,93.07312469851868,97.52177314500437,101.32396686315047,105.09226000561387,107.32708853881483,109.990449702181,112.0485805811612,114.3648947558797,116.25138465049913,118.59848671094517,121.33131289985332,124.17574352880926,127.15235478235596,128.04449810795862,132.12773907261206,135.54386052376773,136.59463742744745,138.06467662445155,137.46666519567475,137.91645920885108,136.8485736965596,137.81073922578892,136.48927123322872,130.51721329535445,133.31504459951432,126.07240668417482,122.61428109813237,121.0743285925726,117.4489308437638,117.46062228459284,117.04830214370224,116.75725592794227,116.01119755872409,115.22316462374492,
IRL,,,,,52.72300018583198,55.94304958481319,58.45731756684793,60.42352507260511,62.24264028107274,63.71036361082708,58.87478442760285,48.50898241263666,50.53703985839341,50.45149588151125,50.72654943440258,54.57884081402162,57.50573558965462,58.28540695506553,47.63409136817864,40.27994221548311,41.97182188203352,24.63971198944974,18.55368173190656,11.39219632505642,11.1458602933145,15.26244534264396,12.11166190606957,18.43879772694726,25.92404282897543,29.07706821540308,29.98243437048348,28.71620952668476,27.70837379558656,26.51275630227469,26.38341556736132,25.1139957820349,
ISL,,,,,5.9892897437,6.1900622362,6.7259385434,7.1875692419,7.6135676964,8.0437961831,8.1982493549,8.3502497552,8.5952616974,8.8658604823,9.0870160151,9.4186944735,9.4516598448,9.4835511828,9.7931556638,9.3751684787,10.6129078327,10.496603231,10.0832791821,9.7117687594,9.7075957527,8.8549418452,7.8370258466,8.3242981503,8.1835616197,8.0059192095,7.6788601993,7.3921940335,7.7132700869,6.3995946154,7.411455011,7.3993230566,
ITA,,,,,488.2479644326525,513.2414405183775,530.5589630473442,553.7612288190056,579.2539358661592,604.9263947249988,631.9973710976741,654.7445394381476,644.06178484584,645.9874679461792,687.98258393213,737.832998339332,708.7583649781409,701.5241807830192,677.692118320456,680.0955480058468,657.1734927423689,644.1528675875766,625.3263537837654,629.9043996009068,622.4587350630982,600.5445350676184,604.1116846339556,555.2293835747446,552.9910660004814,561.3472277007346,547.5879729872045,545.7667214740175,545.0707836676315,537.6623995300711,569.9882845454821,559.7814236087007,
JPN,,,,,397.58277879527884,392.60336384865803,389.29604709704563,380.31539451827445,372.3579324477237,359.068825440307,346.52458256136765,332.481829946954,316.2697713754324,300.7862526134752,286.40719074901733,272.0893592700095,257.82738719287437,243.50433081157553,228.7864982797349,214.13238819865833,199.0725953366276,185.1181135975366,169.55975956167308,155.99058186119197,142.73904438898475,132.07730502027445,123.04692788605767,114.45159815661661,105.54196039923268,97.61294593390174,89.9274299996655,83.68577674457367,77.57974118346354,72.27204667619438,67.29539830842435,62.77649561204152,
KAZ,,,,,60.62,63.68,66.4,68.79,70.86,72.39,73.86,75.25,76.59,77.89,79.17,80.43,81.69,82.91,84.07,85.21,86.3,87.98,91.63,95.24,99.83,103.88,108.2,111.52,114.61,117.25,119.29,120.35,122.63,125.4,128.01,129.08,
LIE,,,,,0.01924017529853,0.01810827161372,0.01705338874479,0.01606899012391,0.01514926242131,0.01428901654376,0.0134836038949,0.01272884541584,0.01202097133681,0.01135656991412,0.01073254371227,0.01014607222911,0.00959457986,0.00907570836192,0.00858729311598,0.00812734260134,0.00769402058907,0.00728563064393,0.00690060258873,0.00653748064112,0.00619491297899,0.00587164252941,0.00556649880807,0.00527839066349,0.00500629980263,0.00474927499347,0.00450642685617,0.00427692316738,0.0040599846138,0.00385488094015,0.00366092744483,0.00347748178299,
LTU,,,,,41.15336207946444,42.14548748837488,43.04305792499319,43.81583744323627,44.04115185409494,44.10825250084743,44.44067680291946,44.75754555981097,44.92526972313998,45.0389920160877,45.44013165771089,46.91626032913253,47.3814063212284,47.82167578522348,46.97098620355764,46.09377723491368,45.388599483101,44.68020939542765,40.94811858065931,40.67941849772444,40.0817827321247,37.80489344783733,37.17824080995147,35.84502098214295,33.84181883180357,32.0566609013294,30.439483397764,29.95649235826369,25.29880143151134,23.98475316926273,23.3112549430251,22.03395345587349,
